program	version1	methods1	constraints1	version2	methods2	constraints2
slf4j-log4j12	1.0-beta9	274	3	1.7.21	56	0
slf4j-simple	1.0	146	3	1.7.21	63	0
snakeyaml	1.4	626	16	1.17	804	40
spock-core	0.1	836	14	0.3	1107	12
spring	1.1.1	5156	221	2.5.6.SEC03	12420	1204
spring-aop	1.2.1	584	39	4.3.2.RELEASE	1358	151
spring-beans	1.2.1	866	70	4.3.2.RELEASE	2451	213
spring-context	1.2.1	483	16	4.3.2.RELEASE	3470	297
spring-context-support	2.5	456	64	4.3.2.RELEASE	844	102
spring-core	1.2.1	324	34	4.3.2.RELEASE	3276	335
spring-expression	3.0.0.RELEASE	566	29	4.3.2.RELEASE	900	39
spring-jdbc	1.2.1	954	28	4.3.2.RELEASE	1968	129
spring-orm	1.2.1	719	34	4.3.2.RELEASE	1882	125
spring-test	2.5	962	176	4.3.2.RELEASE	2446	348
spring-tx	2.5	830	97	4.3.2.RELEASE	961	94
spring-web	1.2.1	503	28	4.3.2.RELEASE	3308	308
spring-webmvc	1.2.2	793	31	4.3.2.RELEASE	3267	185
testng	5.0	1540	21	6.9.10	3434	25
validation-api	1.0.CR2	104	0	1.1.0.Final	208	0
velocity	1.6.3	2034	20	1.7	2146	20
xalan	2.5.1	8672	58	2.7.2	10280	114
xercesImpl	2.4.0	6321	24	2.11.0	9306	108
xml-apis	1.3.04	2219	81	2.0.2	1265	24
xmlunit	1.4	596	6	1.6	618	9
xstream	1.1.3	1143	40	1.4.9	2473	72
zookeeper	3.3.0	2483	37	3.5.2-alpha	3876	65

